iter	Passed	Remaining
0	66	66918
1	125	62573
2	178	59296
3	239	59584
4	299	59531
5	349	57828
6	392	55733
7	431	53478
8	467	51494
9	504	49989
10	550	49512
11	590	48630
12	629	47812
13	666	46938
14	703	46164
15	740	45515
16	777	44930
17	812	44315
18	848	43820
19	891	43698
20	940	43849
21	987	43914
22	1033	43915
23	1077	43814
24	1118	43610
25	1163	43593
26	1206	43481
27	1249	43365
28	1294	43331
29	1333	43104
30	1369	42816
31	1407	42588
32	1442	42257
33	1478	42007
34	1515	41781
35	1550	41516
36	1585	41276
37	1623	41092
38	1659	40890
39	1695	40691
40	1730	40472
41	1764	40250
42	1797	40007
43	1829	39752
44	1861	39499
45	1897	39342
46	1931	39171
47	1967	39012
48	2002	38856
49	2037	38711
50	2071	38554
51	2105	38378
52	2135	38152
53	2158	37814
54	2184	37539
55	2216	37366
56	2247	37180
57	2274	36941
58	2301	36710
59	2328	36480
60	2358	36306
61	2386	36111
62	2416	35935
63	2445	35758
64	2469	35529
65	2497	35343
66	2524	35155
67	2555	35026
68	2584	34869
69	2614	34730
70	2644	34602
71	2671	34436
72	2699	34277
73	2733	34202
74	2765	34107
75	2803	34079
76	2829	33923
77	2857	33779
78	2889	33686
79	2933	33730
80	2982	33840
81	3014	33744
82	3050	33706
83	3080	33596
84	3106	33437
85	3134	33309
86	3160	33163
87	3186	33027
88	3214	32908
89	3240	32760
90	3265	32615
91	3291	32487
92	3321	32397
93	3351	32299
94	3382	32218
95	3413	32146
96	3437	32003
97	3476	31997
98	3511	31955
99	3547	31928
100	3576	31838
101	3616	31839
102	3649	31781
103	3701	31886
104	3754	32002
105	3802	32066
106	3853	32158
107	3900	32218
108	3948	32280
109	4011	32455
110	4058	32502
111	4092	32448
112	4128	32407
113	4162	32352
114	4196	32298
115	4232	32256
116	4270	32231
117	4307	32199
118	4346	32176
119	4379	32118
120	4411	32050
121	4452	32041
122	4500	32091
123	4541	32082
124	4574	32023
125	4609	31974
126	4642	31911
127	4678	31868
128	4721	31879
129	4758	31844
130	4798	31830
131	4831	31771
132	4865	31713
133	4898	31658
134	4935	31623
135	4976	31617
136	5013	31582
137	5046	31520
138	5083	31486
139	5118	31444
140	5159	31431
141	5189	31357
142	5226	31322
143	5260	31272
144	5293	31213
145	5328	31168
146	5361	31111
147	5400	31090
148	5438	31062
149	5476	31032
150	5515	31009
151	5553	30982
152	5602	31016
153	5647	31026
154	5702	31087
155	5740	31055
156	5775	31010
157	5811	30968
158	5850	30944
159	5888	30912
160	5925	30880
161	5964	30853
162	6001	30816
163	6036	30770
164	6074	30742
165	6109	30693
166	6143	30646
167	6173	30572
168	6201	30493
169	6229	30412
170	6254	30320
171	6275	30211
172	6302	30129
173	6328	30041
174	6354	29956
175	6382	29881
176	6410	29805
177	6434	29715
178	6462	29642
179	6489	29562
180	6516	29485
181	6539	29390
182	6566	29315
183	6592	29234
184	6620	29165
185	6653	29117
186	6692	29096
187	6723	29038
188	6755	28987
189	6783	28920
190	6816	28872
191	6848	28822
192	6876	28751
193	6910	28711
194	6945	28673
195	6979	28628
196	7010	28576
197	7037	28503
198	7062	28427
199	7088	28354
200	7112	28273
201	7137	28196
202	7161	28116
203	7185	28038
204	7209	27959
205	7233	27880
206	7257	27803
207	7284	27736
208	7307	27657
209	7334	27591
210	7360	27521
211	7386	27456
212	7412	27388
213	7438	27321
214	7462	27248
215	7489	27182
216	7509	27097
217	7533	27022
218	7557	26951
219	7582	26884
220	7611	26829
221	7640	26775
222	7663	26702
223	7688	26636
224	7725	26610
225	7759	26574
226	7792	26536
227	7832	26522
228	7868	26491
229	7912	26491
230	7951	26470
231	7990	26451
232	8026	26422
233	8062	26394
234	8096	26356
235	8136	26338
236	8170	26302
237	8206	26273
238	8236	26225
239	8271	26194
240	8309	26169
241	8344	26137
242	8377	26099
243	8417	26079
244	8452	26048
245	8489	26021
246	8526	25993
247	8565	25971
248	8607	25961
249	8652	25957
250	8701	25965
251	8733	25922
252	8767	25887
253	8804	25858
254	8838	25822
255	8877	25801
256	8917	25780
257	8955	25756
258	8991	25724
259	9028	25695
260	9065	25668
261	9096	25623
262	9130	25585
263	9169	25562
264	9203	25526
265	9243	25506
266	9282	25482
267	9318	25451
268	9356	25425
269	9398	25411
270	9450	25422
271	9499	25424
